player_id,player_name,age,position,team_name,minutes,appearances,goals,assists,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,shots_total,shots_on,minutes_90s,goals_per90,assists_per90,passes_total_per90,passes_key_per90,tackles_total_per90,tackles_interceptions_per90,shots_total_per90,progression_index,defensive_intensity,attacking_output,creativity,duel_success_rate,cluster_kmeans,cluster_hierarchical,fit_score
889,V. Lindelöf,31,Defender,Manchester United,1331.0,19.0,1.0,1.0,876.0,8.0,41.0,15.0,9.0,12.0,85.0,35.0,1.0,1.0,2.0,15.0,6.0,4.0,14.78888888888889,0.067618332081142,0.067618332081142,59.23365890308039,0.540946656649136,1.01427498121713,0.8114199849737039,0.40570999248685197,1.268417829948521,-0.49035988360166094,-0.49773606450047997,-0.6045790267690643,-0.9352193546340691,1,1,0.20288804547288775
284324,A. Garnacho,21,Attacker,Manchester United,2578.0,36.0,7.0,4.0,834.0,46.0,0.0,22.0,2.0,18.0,318.0,130.0,111.0,48.0,54.0,20.0,60.0,28.0,28.644444444444446,0.2443754848719938,0.13964313421256788,29.115593483320403,1.6058960434445306,0.7680372381691233,0.6283941039565555,2.094647013188518,-0.3076061864111258,-0.7909893649838643,1.3287142873163533,0.9069192746970107,-0.929948554330239,0,0,-0.5692584990370603
526,A. Onana,29,Goalkeeper,Manchester United,3420.0,38.0,0.0,0.0,1373.0,3.0,0.0,2.0,0.0,0.0,24.0,21.0,1.0,1.0,4.0,1.0,0.0,0.0,38.0,0.0,0.0,36.13157894736842,0.07894736842105263,0.05263157894736842,0.0,0.0,-0.3076061864111258,-2.003384848762865,-1.0131922328877239,-1.2603014001455257,3.2390998758570344,4,3,0.43768301402134924
2935,H. Maguire,32,Defender,Manchester United,1667.0,25.0,2.0,2.0,1096.0,6.0,41.0,24.0,24.0,25.0,156.0,103.0,2.0,0.0,10.0,21.0,15.0,3.0,18.522222222222222,0.10797840431913618,0.10797840431913618,59.172165566886626,0.3239352129574085,1.295740851829634,1.349730053989202,0.8098380323935213,-0.3076061864111258,0.19393177283022991,-0.04190831093734888,-0.9125865552073776,1.465841687212172,1,1,0.5040261689496268
891,L. Shaw,30,Defender,Manchester United,962.0,12.0,0.0,0.0,551.0,13.0,0.0,11.0,11.0,6.0,73.0,34.0,11.0,7.0,3.0,14.0,2.0,0.0,10.688888888888888,0.0,0.0,51.548856548856556,1.2162162162162162,1.0291060291060292,0.5613305613305614,0.18711018711018712,-0.3076061864111258,-0.5950230451943775,-1.0131922328877239,0.35384097419337035,-0.42928900402878084,1,1,-0.4350166815686264
886,Diogo Dalot,26,Defender,Manchester United,3174.0,36.0,2.0,3.0,1493.0,38.0,0.0,81.0,16.0,37.0,278.0,158.0,49.0,31.0,14.0,45.0,20.0,7.0,35.266666666666666,0.05671077504725898,0.08506616257088848,42.33459357277883,1.0775047258979207,2.2967863894139886,1.0491493383742911,0.5671077504725898,-0.3076061864111258,0.7497615232784867,-0.3474385299324187,0.1569657192661488,0.6007271185157305,3,1,0.2544146951696317
2467,Lisandro Martínez,27,Defender,Manchester United,656.0,11.0,0.0,1.0,442.0,3.0,0.0,12.0,8.0,5.0,43.0,21.0,3.0,2.0,3.0,6.0,0.0,0.0,7.288888888888889,0.0,0.13719512195121952,60.640243902439025,0.41158536585365857,1.6463414634146343,0.6859756097560976,0.0,-0.3076061864111258,-0.02681316343170259,-1.0131922328877239,-0.7881834062233806,-0.25757012890499364,1,1,-0.1592646079628733
1485,Bruno Fernandes,31,Midfielder,Manchester United,3119.0,35.0,10.0,8.0,1912.0,116.0,43.0,68.0,6.0,27.0,316.0,136.0,40.0,19.0,28.0,41.0,68.0,41.0,34.65555555555556,0.28855402372555305,0.23084321898044244,55.17152933632574,3.3472266752164153,1.9621673613337607,0.7790958640589932,1.9621673613337607,4.8673982029652025,0.24743435033893957,1.3448371215602017,3.3784154085501137,-0.7227035684195621,2,2,0.41480930234618996
19220,M. Mount,26,Midfielder,Manchester United,541.0,14.0,1.0,0.0,203.0,6.0,0.0,22.0,1.0,6.0,82.0,41.0,10.0,4.0,9.0,10.0,2.0,1.0,6.011111111111111,0.16635859519408502,0.0,33.77079482439926,0.9981515711645101,3.6598890942698707,0.9981515711645101,0.33271719038817005,-0.3076061864111258,1.74684915666306,-1.0131922328877239,0.04433862160054982,-0.09655247159116448,3,1,0.016070189343699918
284322,K. Mainoo,20,Midfielder,Manchester United,1939.0,29.0,3.0,1.0,862.0,15.0,0.0,47.0,12.0,22.0,228.0,120.0,53.0,31.0,23.0,15.0,8.0,5.0,21.544444444444444,0.13924703455389376,0.04641567818463126,40.01031459515214,0.6962351727694688,2.181536874677669,1.0211449200618876,0.37132542547705005,-0.3076061864111258,0.6179489603152682,-0.46122081989518243,-0.38417575571843177,0.19304647052012885,1,1,0.08462693311103367
747,Casemiro,33,Midfielder,Manchester United,1985.0,26.0,1.0,2.0,1406.0,16.0,46.0,83.0,33.0,17.0,276.0,144.0,17.0,9.0,10.0,30.0,28.0,9.0,22.055555555555557,0.04534005037783375,0.0906801007556675,63.74811083123425,0.72544080604534,3.763224181360201,0.7707808564231737,1.269521410579345,1.5543870702405274,1.7093520484946365,0.2863701459858608,-0.34272377157995765,0.1529262683316652,3,1,0.6470044172434224
